,Team1,Team2,PredictedResult
0,Oman,PNG,Oman
1,Bangladesh,Scotland,Bangladesh
2,Ireland,Netherlands,Ireland
3,SriLanka,Namibia,SriLanka
4,Scotland,PNG,Scotland
5,Oman,Bangladesh,Oman
6,Namibia,Netherlands,Namibia
7,SriLanka,Ireland,Ireland
8,Bangladesh,PNG,Bangladesh
9,Oman,Scotland,Oman
10,Namibia,Ireland,Namibia
11,SriLanka,Netherlands,SriLanka
0,Australia,SouthAfrica,Australia
1,England,WestIndies,WestIndies
2,Ireland,Bangladesh,Ireland
3,India,Pakistan,Pakistan
4,Afghanistan,Oman,Afghanistan
5,SouthAfrica,WestIndies,WestIndies
6,Pakistan,NewZealand,Pakistan
7,England,Bangladesh,England
8,Oman,Namibia,Oman
9,Australia,Ireland,Australia
10,WestIndies,Bangladesh,WestIndies
11,Afghanistan,Pakistan,Afghanistan
12,SouthAfrica,Ireland,SouthAfrica
13,England,Australia,England
14,Afghanistan,Namibia,Afghanistan
15,India,NewZealand,India
16,England,Ireland,England
17,SouthAfrica,Bangladesh,SouthAfrica
18,Pakistan,Namibia,Pakistan
19,NewZealand,Oman,NewZealand
20,India,Afghanistan,India
21,Australia,Bangladesh,Australia
22,WestIndies,Ireland,WestIndies
23,NewZealand,Namibia,NewZealand
24,India,Oman,India
25,Australia,WestIndies,WestIndies
26,England,SouthAfrica,England
27,NewZealand,Afghanistan,NewZealand
28,Pakistan,Oman,Pakistan
29,India,Namibia,India
42,WestIndies,Pakistan,Pakistan
43,England,India,India
44,Pakistan,India,India
